ProblemID,ProblemName,Difficulty,Prompt,Model,InputMode,EvalMethod,Compiled,PublicPassed,HiddenPassed,GenTime_s,ErrorMsg,GeneratedCode
E01,A. Short Sort,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,6.51,,
E01,A. Short Sort,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.75,,
E01,A. Short Sort,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,2.24,,
E02,B. Good Kid,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,7.61,,
E02,B. Good Kid,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.37,,
E02,B. Good Kid,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,20.26,,
E03,D. 1D Eraser,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,6.75,,
E03,D. 1D Eraser,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,5.11,,
E03,D. 1D Eraser,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,10.08,,
E04,A. Game with Integers,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,3.63,,
E04,A. Game with Integers,Easy,P2,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,7.8,,
E04,A. Game with Integers,Easy,P3,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,1,1,10.6,,
E05,number-of-senior-citizens,Easy,P1,meta-llama/llama-3.3-70b-instruct,stdin,lcb-stdin,1,0,0,7.32,want='2' got='',"import sys

def main():
    details = sys.stdin.read().strip().splitlines()
    count = 0
    for detail in details:
        age = int(detail[11:13])
        if age > 60:
            count += 1
    print(count)

if __name__ == ""__main__"":
    main()"
